time,n,p,k 
1.47, 82, 18,89 
2.93, 82, 18,89 
4.38, 82, 18,89 
5.92, 82, 18,89 
7.54, 82, 18,89 
9.02, 82, 18,89 
10.45, 82, 18,89 
11.85, 82, 18,89 
13.24, 82, 18,89 
14.76, 82, 18,89 
16.20, 82, 18,89 
17.71, 82, 18,89 
19.23, 82, 18,89 
20.71, 82, 18,89 
22.19, 82, 18,89 
23.70, 82, 18,89 
25.07, 82, 18,89 
26.51, 82, 18,89 
27.95, 82, 18,89 
29.34, 82, 18,89 
30.86, 82, 18,89 
32.32, 82, 18,89 
33.72, 82, 18,89 
35.28, 82, 18,89 
36.73, 82, 18,89 
38.22, 82, 18,89 
39.65, 82, 18,89 
41.06, 82, 18,89 
