time,n,p,k 
1.29, 26, 104,30 
2.54, 25, 103,30 
4.50, 24, 103,30 
5.77, 26, 104,30 
7.01, 24, 104,31 
8.27, 23, 103,30 
9.52, 23, 103,29 
10.77, 25, 104,31 
12.02, 26, 104,29 
13.27, 24, 103,30 
14.54, 23, 104,31 
15.81, 23, 104,31 
17.09, 24, 104,31 
18.38, 24, 104,30 
19.64, 23, 104,32 
20.91, 23, 103,29 
22.19, 24, 104,30 
23.48, 23, 103,29 
24.76, 23, 103,29 
26.02, 27, 104,30 
27.27, 22, 103,30 
28.55, 23, 104,29 
29.82, 24, 104,31 
31.10, 23, 103,28 
32.39, 23, 103,29 
33.68, 23, 103,28 
34.95, 23, 103,28 
36.20, 22, 103,29 
37.46, 22, 103,28 
38.72, 23, 103,28 
40.00, 24, 103,29 
41.29, 23, 103,28 
42.57, 22, 103,29 
43.85, 24, 103,29 
45.14, 21, 103,29 
46.45, 22, 103,28 
47.79, 22, 103,27 
49.14, 22, 103,28 
50.44, 21, 102,27 
51.76, 22, 103,27 
53.10, 21, 102,28 
54.42, 21, 102,27 
55.70, 22, 102,26 
57.05, 21, 102,26 
58.41, 21, 102,28 
59.70, 21, 102,27 
61.01, 21, 102,26 
62.35, 21, 102,28 
63.67, 20, 102,26 
64.93, 20, 102,27 
66.21, 21, 102,26 
67.49, 20, 102,26 
68.77, 20, 102,27 
70.07, 20, 102,26 
71.36, 19, 102,26 
72.64, 20, 102,25 
73.92, 20, 102,26 
75.20, 21, 102,25 
76.50, 20, 102,27 
77.81, 21, 102,26 
79.08, 20, 102,26 
80.38, 20, 102,26 
81.65, 20, 102,26 
82.94, 21, 102,25 
84.20, 19, 102,25 
85.49, 20, 102,26 
86.77, 20, 102,26 
88.05, 19, 102,25 
89.35, 19, 102,26 
90.62, 20, 102,26 
91.92, 20, 102,26 
93.22, 101, 24,19 
94.49, 102, 25,19 
95.78, 101, 24,19 
97.08, 101, 24,19 
98.36, 101, 24,18 
