time,n,p,k 
1.33, 89, 21,96 
2.62, 89, 21,96 
3.90, 88, 21,96 
5.20, 88, 21,96 
6.50, 88, 21,96 
7.79, 88, 21,96 
9.07, 88, 21,96 
10.34, 88, 21,96 
11.69, 88, 21,96 
12.96, 88, 21,95 
14.23, 88, 21,95 
15.50, 88, 21,95 
16.77, 88, 21,95 
18.09, 88, 21,95 
19.38, 88, 21,95 
20.69, 88, 21,95 
22.05, 87, 21,95 
23.38, 87, 21,95 
24.72, 87, 21,95 
26.08, 87, 21,95 
27.39, 87, 21,95 
28.74, 87, 21,94 
30.07, 87, 21,94 
31.38, 87, 21,94 
32.69, 87, 21,94 
33.95, 87, 21,94 
35.21, 87, 21,94 
36.49, 87, 21,94 
37.79, 87, 21,94 
39.08, 87, 21,94 
40.37, 86, 21,94 
41.70, 86, 20,94 
43.02, 86, 20,94 
44.31, 86, 20,94 
45.60, 86, 20,94 
46.92, 86, 20,94 
48.23, 86, 20,94 
49.57, 86, 20,94 
50.88, 86, 20,94 
52.18, 93, 85,20 
53.51, 93, 85,20 
