time,n,p,k 
1.32, 112, 31,119 
2.62, 112, 31,119 
3.91, 112, 31,119 
5.20, 112, 31,119 
6.49, 112, 31,119 
7.78, 112, 31,119 
9.08, 112, 31,119 
10.38, 112, 31,119 
11.71, 112, 31,119 
12.98, 112, 31,119 
14.26, 112, 31,119 
15.57, 112, 31,119 
16.85, 112, 31,119 
18.13, 112, 31,119 
19.39, 112, 31,119 
20.66, 112, 31,119 
21.94, 112, 31,119 
23.24, 112, 31,119 
24.53, 112, 31,119 
25.82, 112, 31,119 
27.10, 112, 31,119 
28.39, 112, 31,119 
29.67, 112, 31,119 
30.97, 112, 31,119 
32.27, 111, 31,119 
33.57, 112, 31,119 
34.89, 111, 31,118 
36.21, 111, 31,118 
37.53, 111, 31,118 
38.83, 111, 31,118 
40.11, 111, 31,118 
41.39, 111, 31,118 
42.68, 111, 31,118 
43.97, 111, 31,118 
45.25, 117, 110,30 
46.54, 117, 110,30 
47.84, 117, 110,30 
