time,n,p,k 
1.31, 46, 113,52 
2.60, 45, 113,51 
3.90, 45, 113,51 
5.18, 44, 113,52 
6.45, 45, 113,51 
7.74, 45, 113,51 
9.06, 45, 112,51 
10.34, 45, 112,49 
11.61, 44, 112,49 
12.86, 43, 112,50 
14.15, 43, 112,49 
15.44, 44, 112,49 
16.72, 42, 112,51 
18.01, 43, 112,49 
19.31, 43, 112,48 
20.60, 43, 111,48 
21.87, 42, 112,49 
23.12, 42, 111,48 
24.39, 42, 112,48 
26.23, 42, 111,47 
27.49, 41, 111,48 
28.76, 42, 111,47 
30.04, 41, 111,47 
31.32, 39, 110,47 
32.59, 41, 111,47 
33.88, 41, 111,47 
35.16, 40, 111,48 
36.42, 40, 111,47 
37.70, 40, 111,46 
38.97, 40, 110,45 
40.23, 39, 110,46 
41.50, 40, 110,45 
42.78, 39, 110,46 
44.06, 40, 110,46 
45.33, 40, 110,45 
46.62, 39, 110,46 
47.90, 109, 42,37 
49.18, 109, 43,37 
50.47, 109, 43,37 
51.73, 108, 43,37 
53.03, 108, 42,36 
54.31, 109, 42,36 
55.61, 108, 41,35 
56.88, 108, 41,35 
58.14, 108, 42,36 
59.42, 108, 42,36 
