time,n,p,k, temperature, humidity, soilmoisture, irrigation  
0.75, 255, 255,255, 32, off 
1.45, 255, 255,255, 23, on 
2.14, 255, 255,255, 26, on 
2.87, 255, 255,255, 24, on 
3.57, 255, 255,255, 35, off 
4.26, 107, 29,114, 31, off 
4.96, 107, 29,114, 27, on 
5.64, 107, 29,114, 28, on 
6.34, 255, 255,255, 32, off 
7.03, 255, 255,255, 26, on 
7.72, 255, 255,255, 25, on 
8.43, 255, 255,255, 29, on 
9.09, 255, 255,255, 28, on 
9.81, 252, 255,255, 26, on 
10.50, 107, 29,114, 29, on 
11.18, 255, 29,255, 30, off 
11.88, 107, 29,114, 31, off 
12.56, 107, 29,114, 30, off 
13.24, 255, 255,255, 30, off 
13.94, 107, 29,114, 34, off 
14.68, 107, 29,114, 32, off 
15.39, 107, 255,114, 28, on 
16.07, 107, 29,114, 33, off 
16.83, 255, 255,255, 28, on 
17.48, 255, 255,255, 36, off 
18.14, 255, 255,255, 28, on 
18.88, 255, 255,255, 31, off 
19.56, 255, 255,255, 34, off 
20.28, 207, 255,255, 34, off 
21.00, 29, 114,107, 32, off 
21.72, 29, 114,107, 35, off 
22.42, 255, 255,255, 35, off 
23.11, 255, 255,255, 30, off 
23.83, 255, 255,255, 33, off 
