time,n,p,k 
1.36, 180, 60,186 
2.71, 180, 60,186 
4.03, 180, 60,186 
5.29, 180, 60,186 
6.58, 179, 60,186 
7.86, 179, 60,185 
9.24, 179, 60,185 
10.66, 178, 60,185 
11.94, 178, 60,185 
13.26, 179, 60,184 
14.56, 178, 60,185 
15.85, 178, 60,185 
17.14, 178, 60,184 
18.43, 178, 60,185 
19.73, 178, 60,184 
21.06, 178, 60,184 
22.36, 178, 60,184 
23.66, 177, 60,184 
24.96, 177, 59,184 
26.26, 178, 60,184 
27.55, 177, 59,184 
28.88, 177, 59,184 
30.26, 177, 59,184 
31.54, 177, 59,184 
32.83, 177, 59,183 
34.09, 177, 59,183 
35.36, 176, 59,183 
36.64, 177, 59,183 
37.92, 177, 59,183 
39.22, 176, 59,183 
40.51, 176, 59,183 
41.78, 176, 59,183 
43.06, 181, 175,58 
44.33, 181, 174,58 
45.60, 181, 174,58 
46.87, 181, 175,58 
48.14, 181, 174,58 
49.41, 181, 174,58 
50.65, 181, 174,58 
51.90, 181, 174,58 
53.16, 181, 174,58 
54.41, 181, 174,58 
55.66, 181, 174,58 
56.91, 181, 173,58 
58.18, 180, 173,58 
59.44, 180, 174,58 
60.70, 180, 173,58 
62.00, 180, 173,58 
63.31, 180, 173,58 
