time,n,p,k, soiltemp , temperature, humidity, soilmoisture, irrigation  
0.92, 122, 36,129,32.75, 36.0,95, 33, off 
4.57, 122, 36,129,32.75, 35.0,95, 32, off 
6.34, 122, 35,128,32.81, 36.0,95, 34, off 
14.98, 121, 35,128,32.88, 36.0,95, 34, off 
17.49, 121, 35,128,32.81, 35.0,95, 32, off 
