time,n,p,k 
1.32, 141, 44,148 
2.64, 141, 44,148 
3.95, 141, 44,148 
6.49, 141, 44,148 
8.13, 141, 44,148 
9.40, 141, 44,148 
10.66, 140, 44,147 
11.94, 140, 44,147 
13.22, 140, 44,147 
14.50, 140, 44,147 
15.80, 140, 44,147 
17.09, 140, 43,147 
18.38, 140, 43,147 
19.68, 140, 43,147 
20.97, 139, 43,146 
22.26, 139, 43,146 
23.58, 139, 43,146 
24.92, 139, 43,146 
26.22, 139, 43,146 
27.50, 139, 43,146 
28.81, 139, 43,146 
30.12, 139, 43,146 
31.41, 139, 43,146 
32.90, 138, 43,145 
34.25, 138, 42,145 
35.55, 138, 43,145 
36.92, 138, 42,145 
38.18, 138, 42,145 
39.52, 138, 42,144 
40.82, 144, 137,42 
42.14, 143, 136,42 
43.44, 143, 136,42 
44.83, 143, 136,42 
46.23, 143, 136,42 
47.53, 143, 136,42 
48.85, 143, 136,42 
