time,n,p,k, soiltemp , temperature, humidity, irrigation  
209.53, 3, 3,3,32.06, 36.0,95 
211.21, 49, 161,1,32.00, 36.0,95 
213.82, 0, 0,0,31.94, 36.0,95 
214.69, 255, 255,207,31.88, 36.0,95 
217.36, 87, 21,95,31.81, 35.0,95 
218.24, 88, 21,95,31.81, 35.0,95 
220.96, 88, 21,95,31.69, 35.0,95 
221.91, 87, 21,95,31.62, 35.0,95 
222.79, 87, 21,95,31.62, 35.0,95 
223.71, 87, 21,95,31.62, 35.0,95 
225.51, 87, 21,95,31.50, 35.0,95 
226.43, 87, 21,95,31.50, 35.0,95 
227.32, 87, 21,95,31.44, 35.0,95 
229.93, 87, 21,95,31.31, 34.0,95 
231.75, 87, 21,95,31.25, 35.0,95 
234.43, 87, 21,95,31.19, 34.0,95 
237.03, 87, 21,94,31.06, 34.0,95 
237.93, 87, 21,94,31.06, 34.0,95 
238.77, 87, 21,94,31.06, 34.0,95 
242.26, 87, 21,94,30.94, 34.0,95 
243.16, 87, 21,94,30.88, 34.0,95 
244.96, 87, 21,94,30.81, 34.0,95 
249.45, 87, 20,94,30.69, 33.0,95 
251.18, 86, 20,94,30.62, 33.0,95 
252.04, 86, 20,94,30.56, 33.0,95 
255.55, 86, 20,94,30.50, 34.0,95 
256.45, 255, 255,255,30.50, 33.0,95 
257.33, 255, 255,255,30.50, 34.0,95 
258.25, 255, 255,255,30.44, 34.0,95 
260.04, 255, 255,255,30.38, 33.0,95 
260.96, 255, 255,255,30.38, 33.0,95 
261.81, 255, 255,255,30.38, 33.0,95 
262.69, 255, 255,0,30.38, 33.0,95 
263.60, 33, 1,1,30.31, 33.0,95 
264.54, 85, 20,92,30.31, 33.0,95 
267.18, 85, 20,92,30.25, 33.0,95 
269.82, 255, 255,255,30.19, 33.0,95 
271.61, 255, 255,255,30.12, 33.0,95 
272.53, 255, 255,255,30.12, 33.0,95 
273.44, 255, 255,255,30.12, 33.0,95 
