time,n,p,k 
1.36, 60, 9,67 
2.68, 60, 9,67 
4.03, 60, 9,67 
5.39, 60, 9,67 
6.72, 60, 9,67 
8.05, 60, 9,67 
9.43, 60, 9,67 
10.77, 60, 9,67 
12.18, 60, 9,67 
13.53, 60, 9,67 
14.86, 60, 9,67 
16.19, 60, 9,67 
17.55, 60, 9,67 
19.00, 60, 9,67 
20.41, 60, 9,67 
21.79, 60, 9,67 
23.23, 60, 9,67 
24.69, 60, 9,67 
26.04, 60, 9,67 
27.38, 60, 9,67 
28.73, 60, 9,67 
30.10, 60, 9,67 
31.45, 60, 9,67 
32.93, 60, 9,67 
34.30, 60, 9,67 
35.69, 60, 9,67 
37.04, 60, 9,67 
38.44, 0, 0,0 
39.82, 0, 0,0 
41.18, 0, 0,0 
42.62, 0, 0,0 
44.00, 0, 0,0 
45.34, 0, 0,0 
46.72, 0, 0,0 
48.07, 0, 0,0 
49.50, 0, 0,0 
50.99, 0, 0,0 
52.40, 0, 0,0 
53.74, 0, 0,0 
55.13, 0, 0,0 
56.52, 0, 0,0 
57.98, 0, 0,0 
59.33, 0, 0,0 
60.71, 0, 0,0 
