time,n,p,k 
1.37, 135, 41,142 
2.71, 135, 41,142 
4.01, 135, 41,142 
5.32, 135, 41,142 
6.60, 135, 41,142 
7.95, 134, 41,142 
9.24, 135, 41,141 
10.52, 134, 41,141 
11.84, 134, 41,141 
13.14, 134, 41,141 
14.42, 134, 41,141 
15.73, 134, 41,141 
17.05, 134, 41,141 
18.35, 134, 41,141 
19.64, 134, 41,141 
20.94, 134, 41,141 
22.26, 134, 41,140 
23.56, 134, 41,140 
24.93, 134, 40,140 
26.25, 133, 40,140 
27.61, 134, 40,140 
28.96, 133, 40,140 
30.36, 133, 40,140 
31.79, 133, 41,140 
33.08, 133, 40,140 
34.36, 133, 40,140 
35.63, 133, 40,140 
36.89, 133, 40,140 
38.16, 133, 40,140 
39.41, 133, 40,140 
40.70, 133, 40,139 
42.00, 133, 40,139 
43.29, 132, 40,139 
44.59, 132, 40,139 
45.88, 132, 40,139 
47.21, 132, 40,139 
48.50, 132, 40,139 
49.80, 131, 40,138 
51.11, 131, 40,138 
52.39, 132, 40,138 
53.67, 131, 40,138 
54.97, 131, 40,138 
56.25, 132, 40,138 
57.52, 131, 40,138 
58.83, 131, 39,138 
60.11, 131, 39,138 
61.40, 131, 39,138 
62.72, 131, 40,138 
64.02, 131, 39,138 
65.31, 131, 39,138 
66.60, 131, 39,138 
67.90, 131, 39,138 
69.20, 131, 39,137 
70.50, 131, 39,138 
71.79, 131, 39,138 
73.09, 131, 39,138 
74.37, 131, 39,138 
75.64, 131, 39,138 
76.96, 130, 39,137 
78.25, 130, 39,137 
79.54, 131, 39,138 
80.86, 130, 39,137 
82.18, 130, 39,137 
83.49, 130, 39,137 
84.88, 130, 39,137 
86.18, 39, 136,129 
