time,n,p,k 
1.54, 228, 81,234 
2.99, 229, 81,235 
4.42, 230, 82,236 
5.82, 230, 82,236 
7.25, 230, 82,235 
8.68, 230, 82,236 
10.15, 230, 82,236 
11.56, 231, 82,237 
12.91, 231, 83,238 
14.21, 231, 83,238 
15.68, 232, 83,238 
17.10, 233, 83,238 
18.39, 232, 83,238 
19.96, 232, 83,238 
21.34, 232, 83,238 
22.93, 232, 83,239 
24.30, 232, 83,238 
26.05, 231, 83,238 
27.33, 232, 83,238 
28.59, 232, 83,239 
29.92, 232, 83,238 
31.24, 231, 83,238 
32.53, 232, 82,237 
33.83, 232, 83,238 
35.14, 231, 83,237 
36.42, 232, 83,238 
37.70, 230, 82,237 
39.30, 231, 82,237 
40.57, 231, 83,237 
41.84, 230, 82,236 
43.17, 230, 82,236 
44.47, 229, 82,236 
45.74, 231, 82,236 
47.00, 230, 82,236 
48.26, 230, 82,236 
49.56, 230, 82,235 
50.85, 230, 82,236 
52.12, 230, 82,236 
53.43, 230, 82,236 
54.74, 229, 82,236 
56.01, 230, 82,236 
57.30, 230, 82,237 
58.58, 230, 82,236 
59.86, 231, 82,237 
61.12, 231, 82,237 
62.40, 231, 82,237 
63.74, 231, 82,236 
65.02, 231, 82,237 
66.31, 231, 83,238 
67.58, 232, 82,237 
68.87, 231, 83,237 
70.22, 231, 82,237 
71.50, 232, 83,238 
72.82, 232, 83,237 
74.12, 232, 83,238 
75.44, 232, 83,237 
76.75, 232, 83,238 
78.03, 232, 83,238 
79.33, 232, 83,238 
80.62, 232, 83,238 
81.89, 231, 82,237 
83.17, 231, 82,237 
84.45, 231, 82,237 
85.75, 230, 82,238 
87.05, 230, 82,236 
88.33, 231, 82,236 
89.62, 255, 255,255 
90.92, 255, 255,255 
92.20, 255, 255,255 
93.46, 255, 255,255 
