time,n,p,k 
1.48, 61, 9,69 
2.89, 61, 9,69 
4.25, 61, 9,69 
5.67, 61, 9,69 
7.24, 61, 9,69 
8.72, 61, 9,69 
10.22, 61, 9,68 
11.59, 61, 9,69 
12.99, 61, 9,68 
14.35, 61, 9,68 
15.77, 61, 9,68 
17.18, 61, 9,68 
18.57, 61, 9,68 
19.93, 61, 9,68 
21.26, 61, 9,68 
22.69, 61, 9,68 
24.07, 61, 9,68 
25.48, 61, 9,68 
26.87, 61, 9,68 
28.23, 61, 9,68 
29.65, 61, 9,68 
31.05, 61, 9,68 
32.42, 61, 9,68 
33.88, 61, 9,68 
35.67, 61, 9,68 
37.11, 61, 9,68 
38.46, 61, 9,68 
39.77, 61, 9,68 
41.10, 61, 9,68 
42.44, 61, 9,68 
43.79, 61, 9,68 
45.14, 61, 9,68 
46.49, 61, 9,68 
47.89, 61, 9,68 
49.42, 61, 9,68 
50.78, 60, 9,68 
52.11, 60, 9,68 
53.45, 60, 9,68 
54.78, 60, 9,68 
56.10, 60, 9,68 
57.43, 60, 9,68 
58.78, 60, 9,68 
60.10, 60, 9,68 
61.70, 60, 9,68 
63.19, 60, 9,68 
64.64, 60, 9,68 
66.11, 60, 9,68 
67.49, 60, 9,68 
68.83, 60, 9,68 
70.25, 60, 9,68 
71.63, 60, 9,68 
73.07, 60, 9,68 
74.40, 60, 9,68 
75.84, 60, 9,68 
77.19, 60, 9,68 
78.57, 60, 9,68 
79.92, 60, 9,68 
81.25, 60, 9,68 
82.60, 60, 9,68 
84.02, 60, 9,68 
85.62, 60, 9,68 
86.98, 60, 9,68 
88.32, 60, 9,68 
90.44, 60, 9,68 
92.32, 60, 9,68 
93.82, 60, 9,68 
95.81, 60, 9,68 
97.30, 60, 9,68 
98.79, 60, 9,68 
100.10, 60, 9,68 
101.45, 60, 9,68 
102.84, 9, 67,60 
