time,n,p,k 
1.35, 171, 57,178 
2.65, 171, 57,178 
4.08, 171, 57,178 
5.58, 171, 57,178 
7.23, 173, 58,181 
8.62, 194, 67,201 
9.90, 208, 73,215 
11.23, 234, 84,241 
12.53, 2, 94,9 
13.88, 2, 94,8 
15.20, 6, 96,12 
16.49, 7, 96,14 
17.82, 9, 97,14 
19.17, 9, 97,14 
20.47, 9, 97,16 
21.74, 11, 98,16 
23.06, 12, 98,17 
24.41, 12, 98,18 
25.76, 12, 98,18 
27.09, 12, 98,18 
28.44, 13, 98,18 
29.72, 12, 98,18 
31.12, 11, 98,18 
32.41, 11, 98,17 
33.68, 12, 98,17 
34.96, 13, 99,18 
36.31, 12, 98,18 
37.62, 13, 99,20 
38.91, 12, 99,19 
40.21, 13, 99,19 
41.53, 13, 99,20 
42.83, 14, 99,19 
44.14, 14, 99,20 
45.44, 14, 99,20 
46.73, 14, 99,20 
47.99, 15, 100,21 
49.26, 22, 103,29 
50.54, 22, 103,28 
51.84, 24, 103,29 
53.11, 23, 103,28 
54.51, 23, 103,28 
55.79, 22, 103,28 
57.07, 21, 103,29 
58.37, 22, 103,29 
59.67, 23, 103,30 
60.99, 22, 103,28 
62.30, 22, 103,29 
63.61, 23, 103,28 
64.92, 23, 103,29 
66.21, 23, 103,28 
67.52, 23, 103,28 
68.80, 23, 103,29 
70.07, 23, 103,29 
71.35, 23, 103,29 
72.64, 25, 104,30 
73.94, 23, 103,29 
75.25, 24, 103,29 
76.57, 23, 103,29 
77.86, 24, 103,30 
79.13, 23, 103,28 
80.42, 23, 103,29 
81.70, 23, 103,29 
82.99, 23, 103,30 
84.28, 24, 103,30 
85.58, 24, 103,30 
86.89, 23, 103,30 
88.20, 22, 103,29 
89.47, 24, 103,30 
90.75, 24, 103,29 
92.05, 23, 103,29 
93.34, 24, 103,30 
94.62, 103, 29,22 
95.91, 103, 28,22 
97.22, 102, 27,23 
98.51, 103, 30,23 
99.80, 103, 29,22 
101.12, 103, 28,23 
102.45, 103, 29,23 
103.84, 104, 30,24 
105.20, 103, 28,24 
106.61, 103, 29,23 
107.92, 103, 30,24 
