time,n,p,k 
1.34, 138, 42,144 
2.67, 138, 42,144 
4.07, 137, 42,145 
5.42, 138, 42,145 
6.72, 138, 42,145 
8.02, 138, 42,145 
9.33, 138, 43,145 
10.69, 138, 42,145 
12.11, 138, 42,145 
13.47, 138, 43,145 
14.96, 138, 42,145 
16.32, 138, 42,145 
17.71, 138, 43,145 
19.07, 138, 43,145 
20.38, 138, 43,145 
21.72, 138, 43,145 
23.07, 138, 43,145 
24.40, 138, 43,145 
25.71, 138, 43,145 
27.07, 138, 42,145 
28.35, 138, 43,145 
29.69, 138, 43,145 
31.01, 138, 43,145 
32.30, 138, 43,145 
33.59, 138, 43,145 
34.86, 138, 43,145 
36.16, 138, 43,145 
37.45, 138, 43,145 
38.74, 138, 43,145 
40.03, 138, 43,145 
41.36, , 139,43 
42.65, 146, 139,43 
43.93, 146, 139,43 
45.24, 146, 139,43 
46.56, 146, 139,43 
47.83, 146, 139,43 
49.11, 146, 139,43 
