time,n,p,k 
1.37, 90, 22,97 
2.66, 90, 22,98 
3.95, 90, 22,98 
5.24, 90, 22,98 
7.52, 90, 22,98 
8.80, 90, 22,98 
10.17, 90, 22,98 
11.54, 90, 22,98 
12.84, 90, 22,97 
14.15, 90, 22,97 
15.45, 90, 22,97 
16.75, 90, 22,97 
18.02, 90, 22,97 
19.30, 90, 22,97 
20.59, 90, 22,97 
21.88, 90, 22,97 
23.17, 90, 22,97 
24.45, 90, 22,97 
25.77, 90, 22,97 
27.05, 90, 22,97 
28.35, 89, 22,97 
29.64, 90, 22,97 
30.97, 90, 22,97 
32.26, 89, 22,97 
33.54, 89, 22,97 
34.86, 89, 22,97 
36.16, 89, 22,97 
37.50, 89, 22,97 
38.79, 89, 22,97 
40.04, 89, 22,97 
41.39, 89, 22,97 
42.68, 89, 22,97 
43.96, 89, 22,97 
45.24, 89, 22,97 
46.52, 89, 22,97 
47.79, 89, 22,97 
49.06, 96, 89,21 
50.31, 96, 89,21 
