time,n,p,k 
0.71, 98, 25,104 
1.61, 98, 25,104 
2.34, 98, 25,104 
3.05, 97, 25,104 
3.72, 97, 25,104 
4.45, 97, 25,104 
5.22, 97, 25,104 
5.91, 97, 25,104 
6.61, 97, 25,104 
7.38, 97, 25,104 
8.07, 97, 25,104 
8.82, 97, 25,104 
9.52, 97, 25,104 
10.27, 97, 25,104 
10.96, 97, 25,104 
11.63, 97, 25,104 
12.43, 97, 25,104 
13.15, 97, 25,104 
13.83, 97, 25,104 
14.54, 97, 25,104 
15.26, 97, 25,104 
15.94, 97, 25,104 
16.62, 97, 25,104 
17.35, 97, 25,104 
18.04, 97, 25,104 
18.79, 97, 25,104 
19.48, 97, 25,104 
20.18, 97, 25,104 
20.87, 97, 25,104 
21.55, 97, 25,104 
22.24, 97, 25,104 
22.93, 97, 25,104 
23.61, 97, 25,104 
24.37, 97, 25,104 
25.05, 97, 25,104 
25.72, 97, 25,104 
26.44, 97, 25,104 
27.16, 97, 25,104 
27.87, 97, 25,104 
28.64, 97, 25,104 
29.41, 97, 25,104 
30.11, 97, 25,104 
30.80, 97, 25,104 
31.56, 97, 25,104 
32.38, 97, 25,104 
33.07, 97, 25,104 
33.87, 97, 25,104 
34.55, 97, 25,104 
35.24, 97, 25,104 
35.93, 97, 25,104 
36.86, 97, 25,104 
37.54, 97, 25,104 
38.23, 97, 25,103 
38.96, 97, 25,104 
39.65, 97, 25,104 
40.36, 96, 25,103 
41.15, 96, 25,103 
41.82, 96, 25,103 
42.54, 96, 25,103 
43.26, 41, 140,134 
