time,n,p,k 
1.84, 164, 54,170 
3.35, 164, 54,170 
4.73, 163, 53,170 
6.09, 163, 53,169 
7.60, 163, 53,169 
8.91, 163, 53,169 
10.20, 163, 53,169 
11.58, 163, 53,169 
13.44, 162, 53,169 
14.97, 161, 53,168 
16.38, 161, 52,168 
17.75, 161, 52,168 
19.08, 161, 52,168 
20.40, 161, 52,167 
21.74, 161, 52,167 
23.06, 160, 52,167 
24.40, 160, 52,167 
25.94, 160, 52,167 
27.39, 160, 52,166 
28.86, 159, 52,166 
30.34, 159, 52,166 
31.73, 159, 51,166 
33.07, 158, 51,165 
34.41, 159, 51,165 
35.71, 159, 51,165 
37.15, 158, 51,165 
38.65, 158, 51,165 
40.13, 0, 0,0 
