time,n,p,k 
1.31, 209, 73,216 
2.60, 209, 73,216 
3.89, 208, 73,215 
5.20, 208, 73,215 
6.49, 208, 73,215 
7.77, 208, 73,215 
9.08, 208, 73,215 
10.36, 208, 73,214 
11.64, 208, 73,214 
12.91, 208, 73,215 
14.20, 207, 72,214 
15.49, 208, 72,214 
16.78, 207, 72,214 
18.07, 207, 72,213 
19.34, 207, 72,213 
20.66, 207, 72,213 
21.95, 207, 72,213 
23.58, 206, 72,212 
25.11, 206, 72,213 
26.39, 206, 72,212 
28.05, 206, 72,212 
29.42, 206, 72,212 
30.71, 205, 71,211 
32.01, 205, 71,211 
33.30, 205, 71,211 
34.60, 205, 71,211 
35.92, 205, 71,212 
37.32, 205, 71,211 
38.62, 205, 71,211 
39.90, 204, 71,210 
41.29, 204, 71,210 
42.64, 208, 201,70 
43.90, 207, 201,69 
45.17, 207, 201,69 
46.44, 207, 201,69 
47.76, 207, 201,69 
49.08, 206, 200,69 
50.38, 207, 200,69 
51.69, 206, 200,69 
