time,n,p,k 
1.30, 194, 66,201 
2.58, 194, 67,200 
4.25, 194, 67,201 
5.56, 195, 67,201 
7.79, 195, 67,201 
10.16, 195, 67,202 
11.46, 195, 67,203 
12.75, 195, 67,202 
14.05, 196, 67,202 
15.36, 196, 67,202 
16.65, 196, 67,202 
18.02, 196, 68,203 
19.34, 196, 67,203 
20.65, 196, 68,203 
21.95, 197, 68,203 
23.57, 197, 68,203 
25.58, 197, 68,203 
27.23, 197, 68,203 
29.29, 197, 68,203 
31.66, 197, 68,203 
32.93, 198, 68,204 
34.20, 198, 68,204 
35.48, 198, 68,205 
36.77, 198, 69,205 
38.04, 198, 68,204 
39.95, 198, 68,205 
41.22, 207, 200,69 
