time,n,p,k 
1.35, 157, 51,164 
2.66, 157, 51,164 
4.02, 157, 51,164 
5.34, 157, 51,164 
6.70, 157, 51,164 
8.01, 157, 51,164 
9.34, 157, 51,164 
10.61, 157, 51,164 
11.92, 157, 51,164 
13.20, 157, 51,164 
14.49, 156, 51,164 
15.80, 156, 50,163 
17.11, 156, 50,163 
18.40, 156, 50,163 
19.71, 156, 50,163 
21.00, 156, 50,163 
22.31, 155, 50,163 
23.63, 155, 50,162 
24.97, 155, 50,162 
26.28, 155, 50,162 
27.59, 155, 50,162 
28.88, 155, 50,162 
30.26, 155, 50,162 
31.64, 155, 50,162 
32.94, 154, 50,161 
34.24, 155, 50,161 
35.58, 154, 50,161 
36.87, 154, 50,161 
38.19, 154, 50,161 
39.50, 165, 55,174 
40.82, 209, 73,215 
42.15, 225, 80,231 
43.45, 78, 227,222 
44.77, 79, 229,223 
46.07, 255, 255,255 
47.42, 255, 255,255 
48.79, 255, 255,255 
50.14, 255, 255,255 
