time,n,p,k 
1.34, 28, 23,103 
2.63, 26, 22,103 
3.96, 28, 22,102 
5.27, 27, 22,102 
6.59, 27, 21,102 
7.96, 27, 21,102 
9.31, 27, 22,102 
10.62, 26, 21,102 
11.91, 25, 20,102 
13.18, 26, 20,102 
14.48, 25, 19,101 
15.77, 25, 19,102 
17.05, 25, 20,101 
18.34, 25, 19,101 
19.60, 24, 18,101 
20.89, 24, 19,101 
22.19, 25, 19,101 
23.47, 24, 18,100 
24.76, 25, 19,101 
26.04, 23, 17,100 
27.33, 23, 17,100 
28.62, 22, 17,100 
29.92, 22, 18,100 
31.20, 22, 17,100 
32.50, 22, 16,100 
33.81, 23, 17,100 
35.19, 23, 17,100 
36.48, 20, 15,99 
37.80, 21, 15,100 
39.09, 21, 16,100 
40.39, 21, 16,99 
41.69, 20, 14,99 
42.96, 20, 15,99 
44.28, 20, 14,99 
45.58, 20, 14,99 
46.87, 20, 13,99 
48.16, 20, 14,99 
49.45, 19, 13,98 
50.78, 9, 97,16 
