time,n,p,k 
1.44, 90, 22,97 
2.87, 90, 22,97 
4.29, 90, 22,97 
5.72, 90, 22,97 
7.08, 90, 22,97 
8.51, 90, 22,97 
9.99, 90, 22,97 
11.38, 90, 22,97 
12.83, 90, 22,97 
14.31, 90, 22,97 
15.76, 90, 22,97 
17.23, 90, 22,97 
18.67, 90, 22,97 
20.15, 90, 22,97 
21.55, 90, 22,97 
23.03, 90, 22,97 
24.59, 90, 22,97 
26.12, 90, 22,97 
27.59, 90, 22,97 
29.11, 90, 22,97 
30.58, 90, 22,97 
32.09, 90, 22,97 
33.58, 90, 22,97 
35.18, 90, 22,97 
36.68, 89, 22,97 
38.22, 90, 22,97 
39.71, 89, 22,97 
41.23, 89, 22,97 
