time,n,p,k 
0.75, 134, 41,141 
1.43, 134, 41,141 
2.12, 134, 41,141 
2.84, 134, 41,141 
3.54, 134, 41,141 
4.23, 134, 41,141 
4.96, 134, 41,141 
5.68, 134, 41,141 
6.35, 134, 41,141 
7.11, 134, 41,141 
7.82, 134, 41,141 
8.49, 134, 41,141 
9.20, 134, 41,141 
9.94, 134, 41,141 
10.68, 134, 41,141 
11.39, 134, 41,141 
12.12, 134, 41,140 
12.85, 134, 41,140 
13.58, 134, 41,141 
14.29, 134, 41,140 
15.10, 134, 41,141 
15.83, 134, 41,140 
16.50, 134, 41,140 
17.20, 134, 41,140 
17.89, 134, 41,140 
18.61, 134, 41,140 
19.33, 134, 41,140 
20.03, 134, 41,140 
20.71, 134, 41,140 
21.43, 134, 41,140 
22.13, 134, 41,140 
22.81, 134, 41,140 
23.58, 134, 41,140 
24.30, 134, 41,140 
24.98, 134, 41,140 
25.71, 133, 40,140 
26.44, 134, 41,140 
27.12, 134, 41,140 
27.89, 133, 40,140 
28.56, 133, 40,140 
29.25, 133, 40,140 
29.95, 133, 40,140 
30.63, 133, 40,140 
31.33, 133, 40,140 
32.00, 133, 40,140 
32.73, 133, 40,140 
33.44, 133, 40,140 
34.14, 133, 40,140 
34.93, 133, 40,140 
35.62, 133, 40,140 
36.31, 133, 40,140 
36.99, 134, 40,140 
37.66, 133, 40,140 
38.37, 134, 40,140 
39.05, 133, 41,140 
39.87, 40, 139,132 
40.62, 40, 139,132 
41.35, 40, 140,132 
42.07, 40, 139,132 
42.75, 40, 139,132 
