time,n,p,k 
1.43, 62, 10,70 
2.97, 62, 10,70 
4.34, 62, 10,70 
5.79, 62, 10,70 
7.14, 62, 10,70 
8.61, 62, 10,70 
9.98, 62, 10,70 
11.32, 62, 10,70 
12.70, 62, 10,70 
14.06, 62, 10,70 
15.42, 62, 10,70 
16.82, 62, 10,70 
18.16, 62, 10,70 
19.49, 62, 10,70 
20.82, 62, 10,70 
22.27, 62, 10,70 
23.66, 62, 10,70 
24.99, 62, 10,70 
26.34, 62, 10,69 
27.68, 62, 10,69 
29.10, 62, 10,69 
30.56, 62, 10,69 
31.90, 62, 10,69 
33.36, 62, 10,69 
34.68, 62, 10,69 
36.07, 62, 10,69 
37.45, 62, 10,69 
38.86, 62, 10,69 
40.25, 62, 10,69 
41.64, 62, 10,69 
43.65, 62, 10,69 
45.02, 62, 10,69 
46.57, 62, 10,69 
48.04, 62, 10,69 
49.47, 9, 69,61 
50.93, 9, 69,61 
52.38, 9, 69,61 
53.81, 9, 69,61 
