time,n,p,k 
1.36, 160, 52,167 
2.68, 159, 51,166 
3.98, 159, 51,166 
5.37, 159, 51,166 
6.72, 159, 51,166 
8.02, 158, 51,166 
9.37, 158, 51,166 
10.65, 158, 51,166 
11.94, 158, 51,165 
13.24, 158, 51,165 
14.53, 158, 51,165 
15.82, 158, 51,165 
17.07, 158, 51,165 
18.36, 158, 51,165 
19.64, 158, 51,165 
20.94, 158, 51,165 
22.25, 158, 51,165 
23.55, 158, 51,165 
24.83, 158, 51,165 
26.11, 158, 51,165 
27.40, 158, 51,165 
28.68, 158, 51,165 
29.95, 158, 51,165 
31.25, 158, 51,165 
32.53, 158, 51,165 
33.82, 158, 51,165 
35.13, 158, 51,165 
36.49, 158, 51,165 
37.86, 158, 51,165 
39.28, 158, 51,165 
40.65, 158, 51,165 
41.99, 158, 51,165 
43.32, 158, 51,165 
44.66, 51, 165,158 
