time,n,p,k 
1.40, 64, 11,71 
2.87, 64, 11,71 
4.47, 64, 11,71 
5.93, 64, 11,71 
7.39, 64, 11,71 
8.75, 64, 11,71 
10.17, 64, 11,71 
11.52, 64, 11,71 
12.95, 64, 11,71 
14.34, 64, 11,71 
15.70, 64, 11,71 
17.13, 64, 11,71 
18.53, 64, 11,71 
19.91, 64, 11,71 
21.27, 64, 11,71 
22.67, 64, 11,71 
24.08, 64, 11,71 
25.46, 64, 11,71 
26.93, 64, 11,71 
28.28, 64, 11,71 
29.72, 64, 11,71 
31.07, 64, 11,71 
32.42, 64, 11,71 
33.83, 64, 11,71 
35.23, 64, 11,71 
36.59, 64, 11,71 
38.00, 64, 11,71 
39.40, 64, 11,71 
40.81, 64, 11,71 
42.16, 64, 11,71 
43.51, 64, 11,71 
44.89, 64, 11,71 
46.25, 71, 63,10 
