time,n,p,k 
1.31, 154, 49,161 
2.58, 154, 50,161 
3.84, 154, 50,161 
5.19, 154, 49,161 
6.48, 154, 50,161 
7.75, 154, 50,161 
9.03, 154, 50,161 
10.32, 154, 49,161 
11.58, 154, 49,160 
12.84, 154, 49,161 
14.09, 154, 49,161 
15.38, 154, 49,161 
16.64, 154, 49,160 
17.91, 153, 49,161 
19.17, 154, 49,161 
20.44, 153, 49,160 
21.71, 154, 49,161 
22.99, 153, 49,160 
24.29, 154, 49,160 
25.58, 153, 49,160 
26.87, 153, 49,160 
28.15, 153, 49,160 
29.42, 153, 49,160 
30.69, 153, 49,160 
31.95, 153, 49,160 
33.20, 153, 49,160 
34.47, 154, 49,160 
35.74, 153, 49,160 
37.00, 153, 49,160 
38.25, 153, 49,160 
39.59, 153, 49,160 
40.91, 153, 49,160 
42.19, 153, 49,160 
43.53, 153, 49,160 
44.84, 153, 49,159 
46.25, 160, 152,49 
47.56, 159, 152,49 
48.84, 159, 153,49 
50.14, 160, 153,49 
51.45, 159, 152,49 
52.72, 159, 152,49 
54.01, 159, 152,49 
55.33, 159, 152,49 
56.69, 159, 152,49 
58.03, 159, 153,49 
59.33, 159, 152,49 
60.64, 159, 153,49 
61.97, 159, 152,49 
63.35, 159, 152,49 
64.69, 159, 152,49 
