time,n,p,k 
1.49, 63, 10,70 
2.99, 63, 10,70 
4.45, 63, 10,70 
5.90, 63, 10,70 
7.29, 63, 10,70 
8.75, 63, 10,70 
10.19, 63, 10,70 
11.55, 63, 10,70 
12.91, 63, 10,70 
14.31, 63, 10,70 
15.71, 63, 10,70 
17.08, 63, 10,70 
18.42, 63, 10,70 
19.88, 63, 10,70 
21.28, 63, 10,70 
22.71, 63, 10,70 
24.11, 63, 10,70 
25.48, 63, 10,70 
27.04, 63, 10,70 
28.53, 63, 10,70 
29.97, 63, 10,70 
31.42, 63, 10,70 
32.79, 63, 10,70 
34.17, 63, 10,70 
35.51, 63, 10,70 
36.98, 63, 10,70 
38.38, 63, 10,70 
39.90, 63, 10,70 
41.26, 63, 10,70 
42.65, 63, 10,70 
44.23, 63, 10,70 
45.59, 63, 10,70 
46.96, 10, 70,62 
48.59, 10, 70,62 
49.97, 10, 70,62 
51.38, 10, 70,62 
52.84, 10, 70,62 
54.26, 10, 70,62 
55.65, 10, 70,62 
57.09, 10, 70,62 
