time,n,p,k 
1.31, 71, 14,79 
2.59, 71, 14,79 
3.84, 71, 14,79 
5.23, 71, 14,79 
6.51, 0, 0,0 
7.81, 0, 0,0 
9.11, 0, 0,0 
10.40, 71, 14,78 
11.69, 71, 14,78 
12.99, 71, 14,78 
14.48, 71, 14,78 
15.81, 71, 14,78 
17.10, 71, 14,78 
18.44, 71, 14,78 
19.73, 71, 14,78 
21.12, 71, 14,78 
22.41, 71, 14,78 
23.70, 71, 13,78 
25.02, 70, 13,78 
26.46, 70, 13,78 
27.76, 70, 13,78 
29.11, 70, 13,78 
30.39, 70, 13,78 
31.68, 70, 13,78 
32.96, 70, 13,78 
34.27, 70, 13,78 
35.57, 70, 13,78 
36.90, 70, 13,78 
