time,n,p,k, soiltemp, soilmoisture, irrigation  
2.32, 29.81, 87,21,95, 77, off 
4.61, 29.75, 87,21,95, 77, off 
6.90, 29.75, 87,21,95, 77, off 
9.18, 29.69, 87,21,95, 77, off 
11.47, 29.62, 87,21,95, 77, off 
13.76, 29.56, 87,21,95, 76, off 
