time,n,p,k 
1.31, 126, 37,133 
2.60, 126, 37,133 
3.88, 126, 38,134 
5.23, 126, 37,133 
6.52, 126, 37,133 
7.80, 126, 37,133 
9.09, 126, 37,133 
10.38, 126, 37,133 
11.69, 126, 37,133 
13.01, 126, 37,133 
14.39, 126, 37,133 
15.74, 126, 37,133 
17.08, 126, 37,133 
18.43, 126, 37,133 
19.75, 126, 37,133 
21.11, 126, 37,133 
22.45, 126, 37,133 
23.76, 126, 37,133 
25.08, 126, 37,133 
26.39, 126, 37,133 
27.66, 126, 37,133 
28.94, 126, 37,133 
30.21, 126, 37,133 
31.49, 126, 37,133 
32.77, 126, 37,133 
34.04, 126, 37,133 
35.33, 126, 37,133 
36.62, 126, 37,133 
37.93, 126, 37,133 
39.22, 126, 37,133 
40.53, 126, 37,133 
41.85, 126, 37,133 
43.16, 126, 37,133 
44.48, 126, 37,133 
45.79, 126, 37,133 
47.09, 126, 37,133 
48.40, 126, 37,133 
49.68, 126, 37,133 
51.11, 126, 37,133 
52.42, 126, 37,133 
53.71, 126, 37,133 
55.01, 126, 37,133 
56.29, 126, 37,133 
57.59, 126, 37,133 
58.87, 126, 37,133 
60.17, 126, 37,133 
61.50, 126, 37,133 
62.80, 126, 37,133 
64.11, 126, 37,133 
65.42, 126, 37,133 
66.73, 126, 37,133 
68.04, 126, 37,133 
69.33, 126, 37,133 
70.75, 126, 37,133 
72.04, 126, 37,133 
