time,n,p,k, soiltemp , temperature, humidity, soilmoisture, irrigation  
0.90, 120, 35,127,32.62, 35.0,95, 30, off 
2.60, 119, 35,127,32.56, 35.0,95, 30, off 
3.44, 119, 35,127,32.56, 35.0,95, 31, off 
5.17, 119, 35,127,32.56, 36.0,95, 31, off 
12.79, 119, 34,126,32.38, 35.0,95, 31, off 
15.33, 119, 34,126,32.38, 36.0,95, 31, off 
16.16, 119, 34,126,32.31, 35.0,95, 31, off 
