time,n,p,k 
1.36, 105, 28,113 
2.64, 105, 28,113 
3.91, 106, 29,113 
5.17, 105, 29,113 
6.44, 105, 28,113 
7.71, 105, 28,113 
8.97, 105, 28,113 
10.25, 105, 28,113 
11.52, 105, 28,113 
12.78, 105, 28,112 
14.12, 105, 28,112 
15.49, 105, 28,113 
16.86, 105, 28,112 
18.34, 105, 28,112 
19.76, 105, 28,112 
21.15, 105, 28,112 
22.45, 105, 28,112 
23.81, 105, 28,112 
25.24, 105, 28,112 
26.55, 105, 28,112 
27.86, 105, 28,112 
29.19, 105, 28,112 
30.50, 105, 28,112 
31.81, 104, 28,112 
33.11, 105, 28,112 
34.42, 105, 28,112 
35.72, 104, 28,112 
37.01, 104, 28,112 
38.30, 104, 28,112 
39.59, 104, 28,112 
40.86, 104, 28,112 
42.17, 104, 28,112 
43.70, 111, 0,2 
45.10, 111, 104,28 
46.59, 111, 104,28 
48.24, 111, 104,28 
