time,n,p,k 
1.40, 46, 3,54 
2.85, 46, 3,54 
4.22, 46, 3,54 
5.66, 46, 3,54 
7.05, 46, 3,54 
8.43, 46, 3,54 
9.83, 46, 3,54 
11.23, 46, 3,54 
12.59, 46, 3,54 
13.93, 46, 3,54 
15.30, 46, 3,54 
16.66, 46, 3,54 
18.04, 46, 3,54 
19.48, 46, 3,54 
20.85, 46, 3,54 
22.24, 46, 3,54 
23.66, 46, 3,54 
25.02, 46, 3,54 
26.40, 46, 3,54 
27.99, 46, 3,54 
29.37, 46, 3,54 
30.76, 46, 3,54 
32.09, 46, 3,54 
33.50, 46, 3,54 
34.86, 46, 3,54 
36.33, 46, 3,54 
37.70, 46, 3,54 
39.13, 46, 3,54 
40.51, 46, 3,54 
41.87, 46, 3,54 
43.26, 46, 3,54 
44.65, 46, 3,54 
46.11, 46, 3,54 
47.45, 46, 3,54 
48.81, 46, 3,54 
50.19, 46, 3,54 
51.67, 2, 2,2 
53.28, 2, 2,2 
54.74, 2, 2,2 
56.12, 2, 2,2 
57.60, 2, 2,2 
59.09, 2, 2,2 
60.46, 2, 2,2 
61.84, 2, 2,2 
