time,n,p,k 
1.61, 129, 38,136 
2.97, 129, 39,136 
4.31, 129, 38,136 
5.76, 129, 38,136 
7.22, 129, 38,136 
8.66, 129, 38,136 
9.97, 129, 38,136 
11.40, 129, 38,136 
13.14, 129, 38,136 
14.74, 128, 38,136 
16.29, 128, 38,135 
18.00, 128, 38,135 
19.53, 128, 38,135 
21.19, 128, 38,135 
22.59, 128, 38,135 
23.90, 128, 38,135 
25.20, 128, 38,135 
26.51, 128, 38,135 
27.79, 128, 38,135 
29.06, 128, 38,135 
30.35, 128, 38,135 
31.63, 128, 38,135 
32.91, 128, 38,135 
34.20, 128, 38,135 
35.49, 128, 38,135 
36.80, 127, 38,134 
38.09, 128, 38,134 
39.37, 127, 38,134 
40.72, 127, 38,134 
42.03, 127, 38,134 
43.32, 127, 38,134 
44.60, 127, 38,134 
45.89, 127, 38,134 
47.22, 127, 38,134 
48.50, 127, 38,134 
49.81, 127, 38,134 
51.12, 127, 38,134 
52.42, 127, 38,134 
53.75, 127, 38,134 
55.06, 127, 38,134 
56.39, 127, 38,134 
57.75, 127, 38,134 
59.07, 127, 38,134 
60.42, 127, 38,134 
61.72, 127, 38,134 
63.04, 127, 38,134 
64.37, 127, 38,134 
65.66, 127, 38,134 
66.97, 127, 38,134 
68.28, 127, 38,134 
69.58, 127, 38,134 
70.88, 127, 38,134 
72.15, 127, 38,134 
73.45, 127, 38,134 
