time,n,p,k 
1.36, 122, 36,130 
2.67, 122, 36,129 
3.94, 123, 36,129 
5.27, 122, 36,129 
6.57, 122, 36,129 
7.89, 122, 36,129 
9.21, 122, 36,129 
10.53, 122, 35,128 
11.83, 122, 36,128 
13.15, 121, 35,128 
14.48, 121, 35,128 
15.81, 121, 35,128 
17.11, 121, 35,128 
18.39, 121, 35,128 
19.65, 121, 35,128 
20.94, 121, 35,128 
22.23, 120, 35,128 
23.52, 120, 35,127 
24.82, 120, 35,127 
26.12, 120, 35,127 
27.45, 120, 35,127 
28.76, 120, 35,127 
30.06, 120, 35,127 
31.38, 120, 35,127 
32.70, 119, 35,127 
34.02, 119, 35,127 
35.33, 119, 34,127 
36.62, 119, 35,126 
37.90, 119, 35,127 
39.19, 119, 34,126 
40.49, 119, 34,126 
41.81, 118, 34,126 
43.10, 119, 34,126 
44.39, 117, 33,124 
45.68, 117, 33,124 
46.96, 117, 33,124 
48.27, 117, 33,124 
49.53, 117, 33,124 
50.82, 117, 33,124 
52.09, 117, 33,124 
53.39, 116, 33,123 
54.70, 116, 33,123 
55.97, 116, 33,123 
57.29, 116, 33,123 
58.59, 116, 33,123 
59.90, 116, 33,123 
61.21, 115, 33,123 
62.49, 115, 33,122 
63.76, 115, 33,122 
65.02, 115, 33,122 
66.31, 115, 32,122 
67.59, 115, 32,122 
68.87, 114, 32,122 
70.17, 114, 32,121 
71.48, 114, 32,121 
72.76, 114, 32,121 
74.04, 114, 32,121 
75.32, 114, 32,120 
76.67, 113, 32,120 
77.95, 113, 32,120 
79.35, 113, 32,120 
80.65, 112, 31,120 
81.97, 112, 32,120 
83.27, 112, 31,119 
84.57, 112, 31,119 
85.86, 112, 31,119 
87.17, 110, 30,117 
88.49, 109, 30,116 
89.79, 109, 30,116 
91.06, 109, 30,116 
92.35, 109, 30,116 
94.46, 109, 30,115 
95.76, 108, 30,115 
97.07, 108, 30,115 
98.36, 108, 30,115 
99.68, 108, 30,115 
100.98, 108, 30,115 
102.25, 107, 29,114 
103.54, 107, 29,114 
104.84, 107, 29,114 
106.15, 107, 29,114 
107.46, 107, 29,114 
108.74, 107, 29,114 
110.01, 107, 29,113 
111.26, 106, 29,114 
112.54, 106, 29,113 
113.84, 106, 29,113 
115.15, 106, 29,113 
116.46, 106, 29,113 
117.75, 106, 29,113 
119.04, 105, 29,113 
120.35, 105, 28,113 
121.71, 105, 28,113 
123.10, 105, 28,113 
124.46, 105, 28,112 
125.75, 105, 28,112 
127.07, 105, 28,112 
128.37, 27, 110,103 
129.69, 27, 110,103 
